Booster,Learning_Rate,Max_Depth,Split_Date_Temp,Min_Child_Weight,Split_Date_Load,Predicted_MSE,Predicted_Pinball,Benchmark_MSE,Benchmark_Pinball,Temp_MSE
gbtree,0.9,4,1-1-2004,1,1-1-2006,19463.48012053167,130.3258757594428,20512.404296915,193.59964930235552,922.9633136917591
gbtree,0.9,4,1-1-2004,1,1-1-2007,17080.2003512161,121.1199008898003,20512.404296915,193.59964930235552,922.9633136917591
gbtree,0.9,4,1-1-2004,1,1-1-2008,15967.500240144826,120.72469269741552,20512.404296915,193.59964930235552,922.9633136917591
gbtree,0.9,4,1-1-2004,1,1-1-2009,14470.974543679271,121.58233138022429,20512.404296915,193.59964930235552,922.9633136917591
gbtree,0.9,4,1-1-2004,1,1-1-2010,14314.16974063515,119.50790114747088,20512.404296915,193.59964930235552,922.9633136917591
gbtree,0.9,4,1-1-2005,1,1-1-2006,20285.408145293914,134.43589812266904,20512.404296915,193.59964930235552,920.8361958236164
gbtree,0.9,4,1-1-2005,1,1-1-2007,17393.557510679166,122.49567679996771,20512.404296915,193.59964930235552,920.8361958236164
gbtree,0.9,4,1-1-2005,1,1-1-2008,15765.838449790317,119.27147140483777,20512.404296915,193.59964930235552,920.8361958236164
gbtree,0.9,4,1-1-2005,1,1-1-2009,14374.22276177918,119.51280029467141,20512.404296915,193.59964930235552,920.8361958236164
gbtree,0.9,4,1-1-2005,1,1-1-2010,14009.985149606588,117.29201046028575,20512.404296915,193.59964930235552,920.8361958236164
gbtree,0.9,4,1-1-2006,1,1-1-2006,20262.07080183034,133.30667711592983,20512.404296915,193.59964930235552,967.289028396413
gbtree,0.9,4,1-1-2006,1,1-1-2007,17676.060140132297,123.76373516573062,20512.404296915,193.59964930235552,967.289028396413
gbtree,0.9,4,1-1-2006,1,1-1-2008,16679.90718743076,124.16886403658233,20512.404296915,193.59964930235552,967.289028396413
gbtree,0.9,4,1-1-2006,1,1-1-2009,15185.19516284873,125.19766194233534,20512.404296915,193.59964930235552,967.289028396413
gbtree,0.9,4,1-1-2006,1,1-1-2010,14655.574660528237,122.09450063326322,20512.404296915,193.59964930235552,967.289028396413
gbtree,0.9,4,1-1-2007,1,1-1-2006,21036.52757248477,138.11612515832084,20512.404296915,193.59964930235552,934.5212205243448
gbtree,0.9,4,1-1-2007,1,1-1-2007,18615.937360173255,130.10211167549912,20512.404296915,193.59964930235552,934.5212205243448
gbtree,0.9,4,1-1-2007,1,1-1-2008,16536.33106435591,126.93210469083465,20512.404296915,193.59964930235552,934.5212205243448
gbtree,0.9,4,1-1-2007,1,1-1-2009,15309.219064060864,127.65754794838699,20512.404296915,193.59964930235552,934.5212205243448
gbtree,0.9,4,1-1-2007,1,1-1-2010,14751.626944629621,122.44502789633246,20512.404296915,193.59964930235552,934.5212205243448
gbtree,0.9,4,1-1-2008,1,1-1-2006,20724.053721998407,134.82781487762236,20512.404296915,193.59964930235552,960.3721672888372
gbtree,0.9,4,1-1-2008,1,1-1-2007,18347.897447644227,128.04692035037763,20512.404296915,193.59964930235552,960.3721672888372
gbtree,0.9,4,1-1-2008,1,1-1-2008,16557.276283741645,127.21402161073372,20512.404296915,193.59964930235552,960.3721672888372
gbtree,0.9,4,1-1-2008,1,1-1-2009,15248.29387239517,127.91422188053063,20512.404296915,193.59964930235552,960.3721672888372
gbtree,0.9,4,1-1-2008,1,1-1-2010,14526.589035630092,124.54532503512976,20512.404296915,193.59964930235552,960.3721672888372
gbtree,0.9,4,1-1-2009,1,1-1-2006,23134.626700770306,140.92533198454294,20512.404296915,193.59964930235552,1074.6931080297697
gbtree,0.9,4,1-1-2009,1,1-1-2007,20475.631482447043,133.1121148727396,20512.404296915,193.59964930235552,1074.6931080297697
gbtree,0.9,4,1-1-2009,1,1-1-2008,18760.801937804827,131.67551712414166,20512.404296915,193.59964930235552,1074.6931080297697
gbtree,0.9,4,1-1-2009,1,1-1-2009,16853.450524341242,132.02462080845712,20512.404296915,193.59964930235552,1074.6931080297697
gbtree,0.9,4,1-1-2009,1,1-1-2010,16757.710114940655,127.86465019347136,20512.404296915,193.59964930235552,1074.6931080297697
gbtree,0.9,4,1-1-2010,1,1-1-2006,22196.70407144857,137.86904347894352,20512.404296915,193.59964930235552,1009.8074499849284
gbtree,0.9,4,1-1-2010,1,1-1-2007,19038.841676247896,128.56725289732253,20512.404296915,193.59964930235552,1009.8074499849284
gbtree,0.9,4,1-1-2010,1,1-1-2008,17370.62446508846,126.83973357315791,20512.404296915,193.59964930235552,1009.8074499849284
gbtree,0.9,4,1-1-2010,1,1-1-2009,16469.309605645456,127.65372994337363,20512.404296915,193.59964930235552,1009.8074499849284
gbtree,0.9,4,1-1-2010,1,1-1-2010,16111.304692510159,123.87442615271053,20512.404296915,193.59964930235552,1009.8074499849284
